epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,10078.3,1.59621,1.4901,1.64436,0.67156,0.58194,0.64898,0.35009,1.56081,1.26578,1.56625,0.00898525,0.00898525,0.00898525
43,10318.4,1.59321,1.49084,1.64665,0.66635,0.5834,0.64684,0.34877,1.55576,1.27141,1.56115,0.0089605,0.0089605,0.0089605
44,10558.4,1.59232,1.47356,1.65475,0.66779,0.57524,0.645,0.34852,1.55489,1.26531,1.57226,0.00893575,0.00893575,0.00893575
45,10798.1,1.58962,1.4979,1.64595,0.67424,0.5834,0.65151,0.35051,1.55422,1.26089,1.56893,0.008911,0.008911,0.008911
46,11038.1,1.59842,1.47674,1.64035,0.69314,0.57825,0.65368,0.35212,1.54722,1.2422,1.55626,0.00888625,0.00888625,0.00888625
47,11278,1.57112,1.45291,1.6316,0.68032,0.59028,0.65155,0.35411,1.54834,1.23754,1.56097,0.0088615,0.0088615,0.0088615
48,11518.1,1.58664,1.47012,1.63332,0.69223,0.58018,0.65779,0.35613,1.53711,1.24606,1.54726,0.00883675,0.00883675,0.00883675
49,11758.2,1.58268,1.47108,1.63764,0.68573,0.57785,0.65388,0.35646,1.53786,1.2481,1.55054,0.008812,0.008812,0.008812
50,11998.1,1.57795,1.46277,1.63187,0.67799,0.58298,0.65592,0.35898,1.53732,1.2308,1.54811,0.00878725,0.00878725,0.00878725
51,12238.3,1.58487,1.45559,1.63813,0.66789,0.59372,0.65602,0.35899,1.53998,1.22596,1.5543,0.0087625,0.0087625,0.0087625
52,12478.6,1.57765,1.45596,1.6361,0.69084,0.57997,0.66294,0.36161,1.53624,1.22159,1.55223,0.00873775,0.00873775,0.00873775
53,12718.7,1.58437,1.45198,1.64234,0.6823,0.59329,0.66196,0.36068,1.53697,1.21885,1.55396,0.008713,0.008713,0.008713
54,12958.9,1.57197,1.4438,1.62554,0.6808,0.60061,0.66266,0.36133,1.53922,1.21719,1.5521,0.00868825,0.00868825,0.00868825
55,13198.7,1.57579,1.44789,1.63348,0.67018,0.59802,0.66567,0.36189,1.53821,1.21227,1.54896,0.0086635,0.0086635,0.0086635
56,13438.8,1.56662,1.44067,1.62165,0.68445,0.59071,0.66456,0.36223,1.53597,1.21008,1.54631,0.00863875,0.00863875,0.00863875
57,13679,1.56688,1.43774,1.62586,0.68009,0.60232,0.66931,0.36406,1.53936,1.20937,1.5459,0.008614,0.008614,0.008614
58,13919,1.57421,1.42878,1.62534,0.6832,0.59802,0.66584,0.36231,1.53842,1.2084,1.54476,0.00858925,0.00858925,0.00858925
59,14158.9,1.56327,1.43576,1.62351,0.68673,0.59657,0.6652,0.36381,1.53539,1.20636,1.54444,0.0085645,0.0085645,0.0085645
60,14398.8,1.56732,1.42501,1.63182,0.67297,0.60576,0.66605,0.36342,1.53384,1.20271,1.54441,0.00853975,0.00853975,0.00853975
61,14638.9,1.54872,1.41854,1.60965,0.67697,0.60146,0.66877,0.36444,1.5321,1.19908,1.54314,0.008515,0.008515,0.008515
62,14878.9,1.56455,1.421,1.61217,0.68753,0.59974,0.67009,0.3648,1.53061,1.19592,1.54106,0.00849025,0.00849025,0.00849025
63,15119,1.54983,1.41264,1.60939,0.68747,0.60335,0.67014,0.36537,1.52739,1.19211,1.538,0.0084655,0.0084655,0.0084655
64,15359.1,1.54314,1.41559,1.60556,0.68863,0.60318,0.66972,0.36516,1.52524,1.19066,1.53689,0.00844075,0.00844075,0.00844075
65,15599.3,1.55295,1.40822,1.60877,0.68537,0.60404,0.67009,0.36611,1.52508,1.18635,1.53616,0.008416,0.008416,0.008416
66,15839.4,1.55241,1.41469,1.6122,0.6909,0.6054,0.67162,0.36698,1.5251,1.18818,1.53477,0.00839125,0.00839125,0.00839125
